longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,rooms_per_household,bedrooms_per_room,bedrooms_per_household,population_per_household,rooms_per_person,income_per_household_member,income_x_rooms_per_household,lat_x_lon,lat_plus_lon,log_total_rooms,log_total_bedrooms,log_population,log_households
-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252,452600.0,NEAR BAY,6.984126984126984,0.14659090909090908,1.0238095238095237,2.5555555555555554,2.732919254658385,3.2576869565217397,58.14425396825397,-4630.0724,-84.35,6.78105762593618,4.867534450455582,5.777652323222656,4.844187086458591
-122.22,37.86,21.0,7099.0,1106.0,2401.0,1138.0,8.3014,358500.0,NEAR BAY,6.238137082601054,0.15579659106916466,0.9718804920913884,2.109841827768014,2.9566847147022073,3.934607746772178,51.785271177504384,-4627.2492,-84.36,8.867850063029406,7.009408932708637,7.784057002639929,7.037905963447182
-122.24,37.85,52.0,1467.0,190.0,496.0,177.0,7.2574,352100.0,NEAR BAY,8.288135593220339,0.12951601908657123,1.073446327683616,2.8022598870056497,2.9576612903225805,2.589838306451613,60.150315254237285,-4626.784,-84.38999999999999,7.291656209174461,5.25227342804663,6.208590026096629,5.181783550292085
-122.25,37.85,52.0,1274.0,235.0,558.0,219.0,5.6431,341300.0,NEAR BAY,5.8173515981735155,0.18445839874411302,1.0730593607305936,2.547945205479452,2.283154121863799,2.2147650537634407,32.82789680365296,-4627.1625,-84.4,7.150701457592526,5.4638318050256105,6.326149473155099,5.393627546352362
-122.25,37.85,52.0,1627.0,280.0,565.0,259.0,3.8462,342200.0,NEAR BAY,6.281853281853282,0.1720958819913952,1.0810810810810811,2.1814671814671813,2.879646017699115,1.7631253097345134,24.161264092664094,-4627.1625,-84.4,7.395107546562485,5.638354669333745,6.338594078203183,5.560681631015528
-122.25,37.85,52.0,919.0,213.0,413.0,193.0,4.0368,269700.0,NEAR BAY,4.761658031088083,0.23177366702937977,1.1036269430051813,2.139896373056995,2.225181598062954,1.8864464891041164,19.221861139896376,-4627.1625,-84.4,6.824373670043086,5.365976015021851,6.025865973825314,5.267858159063328
-122.25,37.84,52.0,2535.0,489.0,1094.0,514.0,3.6591,299200.0,NEAR BAY,4.9319066147859925,0.19289940828402366,0.9513618677042801,2.1284046692607004,2.3171846435100547,1.719174954296161,18.046339494163426,-4625.9400000000005,-84.41,7.8383433155571165,6.194405391104672,6.9985096422506015,6.244166900663736
-122.25,37.84,52.0,3104.0,687.0,1157.0,647.0,3.12,241400.0,NEAR BAY,4.797527047913447,0.22132731958762886,1.061823802163833,1.7882534775888717,2.6828003457216942,1.7447191011235956,14.968284389489956,-4625.9400000000005,-84.41,8.040768994367578,6.5337888379333435,7.05444965813294,6.473890696352274
-122.26,37.84,42.0,2555.0,665.0,1206.0,595.0,2.0804,226700.0,NEAR BAY,4.294117647058823,0.2602739726027397,1.1176470588235294,2.026890756302521,2.1185737976782755,1.0263996683250416,8.933482352941176,-4626.318400000001,-84.42,7.846198815497425,6.501289670540389,7.095893221097532,6.39024066706535
-122.25,37.84,52.0,3549.0,707.0,1551.0,714.0,3.6912,261100.0,NEAR BAY,4.970588235294118,0.1992110453648915,0.9901960784313726,2.172268907563025,2.288201160541586,1.6992371373307544,18.347435294117645,-4625.9400000000005,-84.41,8.174702882469461,6.56244409369372,7.347299700743164,6.5722825426940075
-122.26,37.85,52.0,2202.0,434.0,910.0,402.0,3.2031,281500.0,NEAR BAY,5.477611940298507,0.19709355131698456,1.0796019900497513,2.263681592039801,2.4197802197802196,1.4149958241758243,17.545338805970147,-4627.541,-84.41,7.697575346802343,6.075346031088684,6.814542897259958,5.998936561946683
-122.26,37.85,52.0,3503.0,752.0,1504.0,734.0,3.2705,241800.0,NEAR BAY,4.772479564032698,0.2146731373108764,1.0245231607629428,2.0490463215258856,2.329122340425532,1.5961083776595746,15.608394414168938,-4627.541,-84.41,8.161660452056282,6.6240652277998935,7.316548177182976,6.5998704992128365
-122.26,37.85,52.0,2491.0,474.0,1098.0,468.0,3.075,213500.0,NEAR BAY,5.322649572649572,0.1902850260939382,1.0128205128205128,2.3461538461538463,2.268670309653916,1.310655737704918,16.367147435897436,-4627.541,-84.41,7.820840879907344,6.163314804034641,7.002155954403621,6.150602768446279
-122.26,37.84,52.0,696.0,191.0,345.0,174.0,2.6736,191300.0,NEAR BAY,4.0,0.2744252873563218,1.0977011494252873,1.9827586206896552,2.017391304347826,1.3484243478260869,10.6944,-4626.318400000001,-84.42,6.546785410760524,5.2574953720277815,5.846438775057725,5.1647859739235145
-122.26,37.85,52.0,2643.0,626.0,1212.0,620.0,1.9167,159200.0,NEAR BAY,4.262903225806451,0.23685206205069997,1.0096774193548388,1.9548387096774194,2.1806930693069306,0.980490099009901,8.170706612903226,-4627.541,-84.41,7.880048200971577,6.440946540632921,7.10085190894405,6.431331081933479
-122.26,37.85,50.0,1120.0,283.0,697.0,264.0,2.125,140000.0,NEAR BAY,4.242424242424242,0.2526785714285714,1.071969696969697,2.640151515151515,1.6068866571018652,0.8048780487804879,9.015151515151516,-4627.541,-84.41,7.02197642307216,5.648974238161206,6.548219102762372,5.579729825986222
-122.27,37.85,52.0,1966.0,347.0,793.0,331.0,2.775,152500.0,NEAR BAY,5.9395770392749245,0.17650050864699898,1.0483383685800605,2.395770392749245,2.479192938209332,1.1582912988650693,16.482326283987916,-4627.9195,-84.41999999999999,7.584264818389059,5.8522024797744745,6.677083461247136,5.805134968916488
-122.27,37.85,52.0,1228.0,293.0,648.0,303.0,2.1202,155500.0,NEAR BAY,4.052805280528053,0.23859934853420195,0.966996699669967,2.1386138613861387,1.8950617283950617,0.9913898148148148,8.592757755775578,-4627.9195,-84.41999999999999,7.113956109566034,5.683579767338681,6.47543271670409,5.717027701406222
-122.26,37.84,50.0,2239.0,455.0,990.0,419.0,1.9911,158700.0,NEAR BAY,5.343675417661098,0.20321572130415363,1.0859188544152745,2.3627684964200477,2.2616161616161614,0.8426978787878788,10.639792124105012,-4626.318400000001,-84.42,7.7142311448490855,6.1224928095143865,6.898714534329988,6.040254711277414
-122.27,37.84,52.0,1503.0,298.0,690.0,275.0,2.6033,162900.0,NEAR BAY,5.465454545454546,0.19827012641383898,1.0836363636363637,2.5090909090909093,2.1782608695652175,1.0375471014492752,14.228217818181818,-4626.696800000001,-84.42999999999999,7.315883504509785,5.700443573390687,6.53813982376767,5.62040086571715
-122.27,37.85,40.0,751.0,184.0,409.0,166.0,1.3578,147500.0,NEAR BAY,4.524096385542169,0.24500665778961384,1.108433734939759,2.463855421686747,1.8361858190709046,0.5510875305623472,6.142818072289157,-4627.9195,-84.41999999999999,6.62273632394984,5.220355825078324,6.016157159698354,5.117993812416755
-122.27,37.85,42.0,1639.0,367.0,929.0,366.0,1.7135,159800.0,NEAR BAY,4.478142076502732,0.2239170225747407,1.0027322404371584,2.5382513661202184,1.7642626480086114,0.675071044133477,7.673296448087432,-4627.9195,-84.41999999999999,7.402451520818244,5.908082938168931,6.835184586147301,5.905361848054571
-122.27,37.84,52.0,2436.0,541.0,1015.0,478.0,1.725,113900.0,NEAR BAY,5.096234309623431,0.22208538587848933,1.1317991631799162,2.1234309623430963,2.4,0.8123645320197045,8.79100418410042,-4626.696800000001,-84.42999999999999,7.798523053625206,6.295266001439646,6.923628628138427,6.171700597410915
-122.27,37.84,52.0,1688.0,337.0,853.0,325.0,2.1806,99700.0,NEAR BAY,5.193846153846154,0.19964454976303317,1.0369230769230768,2.624615384615385,1.9788980070339977,0.8308264947245018,11.325700923076925,-4626.696800000001,-84.42999999999999,7.4318919168078,5.823045895483019,6.74993119378857,5.786897381366708
-122.27,37.84,52.0,2224.0,437.0,1006.0,422.0,2.6,132600.0,NEAR BAY,5.270142180094787,0.19649280575539568,1.0355450236966826,2.3838862559241707,2.210735586481113,1.0906560636182903,13.702369668246446,-4626.696800000001,-84.42999999999999,7.707512194600341,6.082218910376446,6.914730892718563,6.0473721790462776
-122.28,37.85,41.0,535.0,123.0,317.0,119.0,2.4038,107500.0,NEAR BAY,4.495798319327731,0.22990654205607478,1.0336134453781514,2.6638655462184873,1.6876971608832807,0.9023728706624606,10.807,-4628.298,-84.43,6.284134161070802,4.820281565605037,5.762051382780177,4.787491742782046
-122.28,37.85,49.0,1130.0,244.0,607.0,239.0,2.4597,93800.0,NEAR BAY,4.7280334728033475,0.215929203539823,1.0209205020920502,2.5397489539748954,1.8616144975288302,0.9684815485996706,11.629543933054395,-4628.298,-84.43,7.030857476116121,5.501258210544727,6.410174881966167,5.480638923341991
-122.28,37.85,52.0,1898.0,421.0,1102.0,397.0,1.808,105500.0,NEAR BAY,4.7808564231738035,0.22181243414120128,1.0604534005037782,2.7758186397984885,1.7223230490018149,0.651339382940109,8.643788413098237,-4628.298,-84.43,7.549082710812286,6.045005314036012,7.005789019253503,5.986452005284438
-122.28,37.84,50.0,2082.0,492.0,1131.0,473.0,1.6424,108900.0,NEAR BAY,4.40169133192389,0.23631123919308358,1.040169133192389,2.3911205073995774,1.8408488063660478,0.6868746242263484,7.2293378435517965,-4627.0752,-84.44,7.641564441260972,6.20050917404269,7.0317412587631285,6.161207321695077
-122.28,37.84,52.0,729.0,160.0,395.0,155.0,1.6875,132000.0,NEAR BAY,4.703225806451613,0.2194787379972565,1.032258064516129,2.5483870967741935,1.8455696202531646,0.6621835443037974,7.936693548387097,-4627.0752,-84.44,6.593044534142437,5.081404364984463,5.981414211254481,5.049856007249537
-122.28,37.84,49.0,1916.0,447.0,863.0,378.0,1.9274,122300.0,NEAR BAY,5.068783068783069,0.23329853862212943,1.1825396825396826,2.2830687830687832,2.220162224797219,0.8442146002317497,9.769572486772487,-4627.0752,-84.44,7.558516743045645,6.104793232414985,6.761572768804055,5.937536205082426
-122.28,37.84,52.0,2153.0,481.0,1168.0,441.0,1.9615,115200.0,NEAR BAY,4.882086167800454,0.22340919647004182,1.090702947845805,2.6485260770975056,1.8433219178082192,0.7406005993150685,9.57621201814059,-4627.0752,-84.44,7.675081857716334,6.1779441140506,7.063903961472068,6.091309882077698
