longitude,latitude,housing_median_age,median_income,ocean_proximity,rooms_per_household,bedrooms_per_room,population_per_household,income_per_household_member
-120.59,38.76,21.0,1.7266,INLAND,5.173652694610778,0.24131944444444445,2.188622754491018,0.005169461077844311
-118.39,37.36,38.0,2.3261,INLAND,4.578282828282828,0.22614451185879758,2.2777777777777777,0.005873989898989899
-118.4,34.13,32.0,8.013024999999999,<1H OCEAN,5.215903890160183,0.2028648518217913,2.482379862700229,0.0073345766590389005
-122.37,40.54,28.0,3.6923,INLAND,5.854497354497354,0.17623136014460009,2.8994708994708995,0.009767989417989419
-121.62,39.09,21.0,3.8534,INLAND,6.190804597701149,0.1786112142591905,3.0735632183908046,0.008858390804597702
-119.61,34.45,33.0,5.3963,<1H OCEAN,7.509394572025053,0.14428690575479566,2.519832985386221,0.011265762004175365
-120.24,37.96,34.0,1.625,INLAND,4.8259668508287294,0.22610188895248998,2.5828729281767955,0.004488950276243094
-117.19,32.82,34.0,5.0465,NEAR OCEAN,6.395348837209302,0.15792207792207794,2.6893687707641196,0.008382890365448505
-118.79,34.27,27.0,4.5833,<1H OCEAN,5.817258883248731,0.1649214659685864,3.020304568527919,0.02326548223350254
-122.27,37.88,52.0,4.2813,NEAR BAY,5.4106280193236715,0.19285714285714287,1.9838969404186795,0.006894202898550725
-117.97,33.73,27.0,5.7121,<1H OCEAN,6.335347432024169,0.15498330948974726,3.676737160120846,0.0172570996978852
-121.79,38.69,23.0,2.8864,INLAND,5.60702875399361,0.1829059829059829,3.389776357827476,0.009221725239616613
-122.04,37.63,21.0,4.7813,NEAR BAY,5.248995983935743,0.180566182096404,2.353413654618474,0.019202008032128515
-118.01,33.69,3.0,8.013024999999999,<1H OCEAN,7.682926829268292,0.12169312169312169,2.7398373983739837,0.06514654471544715
-122.91,38.49,37.0,3.6343,<1H OCEAN,5.208860759493671,0.21020656136087484,2.3987341772151898,0.007667299578059072
-118.16,33.92,36.0,4.4881,<1H OCEAN,5.759776536312849,0.17022308438409312,3.1675977653631286,0.01253659217877095
-122.04,38.26,34.0,2.7885,INLAND,4.384068278805121,0.22777417261518496,2.5533428165007113,0.003966571834992888
-120.85,38.69,18.0,3.4872,INLAND,5.215903890160183,0.19251102287932964,2.468649885583524,0.003191945080091533
-117.73,34.05,36.0,2.8929,INLAND,4.184549356223176,0.24923076923076923,3.4721030042918457,0.01241587982832618
-117.01,34.9,34.0,2.1056,INLAND,4.260194174757282,0.2365542388331814,2.574757281553398,0.004088543689320388
-118.44,34.06,14.0,2.2857,<1H OCEAN,2.4413145539906105,0.5615384615384615,1.323943661971831,0.010730985915492958
